time,label,delta_encL,delta_encR,heading,cmdL,cmdR
1763695895.6070728,forward,-33,-36,312.125,15,21
1763695895.6571848,forward,-35,-36,312.0625,15,21
1763695895.707297,forward,-33,-36,312.125,15,21
1763695895.7574348,forward,-33,-35,312.125,15,21
1763695895.8075464,forward,-33,-35,312.1875,15,21
1763695895.8576717,forward,-34,-32,312.1875,15,21
1763695895.9077833,forward,-34,-34,312.125,15,21
1763695895.9578967,forward,-34,-35,312.1875,15,21
1763695896.0080113,forward,-34,-34,312.1875,15,21
1763695896.058124,forward,-34,-35,312.1875,15,21
1763695896.1082368,forward,-34,-36,312.125,15,21
1763695896.1583502,forward,-33,-35,312.125,15,21
1763695896.208462,forward,-33,-34,312.0625,15,21
1763695896.2585738,forward,-33,-35,312.125,15,21
1763695896.3086865,forward,-33,-34,312.0625,15,21
1763695896.3587942,forward,-33,-35,312.0625,15,21
1763695896.408904,forward,-34,-35,312.0625,15,21
1763695896.4590151,forward,-35,-34,312.0625,15,21
1763695896.5091257,forward,-34,-34,312.0625,15,21
1763695896.5592504,forward,-33,-34,312.0,15,21
1763695896.6093624,forward,-34,-34,312.0625,15,21
1763695896.6594734,forward,-33,-33,312.0,15,21
1763695896.709586,forward,-34,-35,312.125,15,21
1763695896.7596967,forward,-34,-34,312.0625,15,21
1763695896.809809,forward,-32,-34,312.1875,15,21
1763695896.8599217,forward,-33,-36,312.25,15,21
1763695896.9100342,forward,-32,-34,312.375,15,21
1763695896.9601457,forward,-33,-34,312.375,15,20
1763695897.010259,forward,-33,-36,312.5625,15,20
1763695897.0603714,forward,-33,-34,312.5625,15,20
1763695897.1104834,forward,-34,-34,312.625,15,19
1763695897.1605957,forward,-32,-32,312.5625,15,19
1763695897.210707,forward,-33,-33,312.5625,15,19
1763695897.2608194,forward,-32,-31,312.625,15,19
1763695897.3109324,forward,-31,-32,312.625,15,18
1763695897.3610423,forward,-32,-30,312.625,15,18
1763695897.411152,forward,-34,-31,312.5,15,18
1763695897.4612622,forward,-31,-31,312.5,15,17
1763695897.511375,forward,-31,-28,312.375,15,17
1763695897.5614862,forward,-31,-32,312.4375,15,17
1763695897.6115963,forward,-31,-29,312.375,15,16
